,text,actual,pred
338,selamat sore admin saya baru saja mengirimkan email untuk melaporkan pengaduan mengenai sms penipuan mohon dicek terimakasih,neg,neg
339,wakil gubernur dki jakarta sandiaga uno kembali dilaporkan ke pmj terkait dugaan penipuan atau penggelapan penadahan di,neg,pos
340,sandiaga uno kembali dilaporkan atas dugaan penipuan,neg,neg
341,nomor telkom speedy ini sudah melakukan tindak pidana penipuan,pos,neg
342,ade menilai dugaan pungli yang dilakukan oleh pihak sekolah adalah ketika penerimaan siswa baru diwajibkan setiap c,neg,neg
343,bukan karena pengawasan memble karena pejabatnya mulai gubernur sampai bawahan melakukan pungli yang terorganisir kpk dki,neg,neg
344,inspektorat pelayanan publik rawan pungli diantaranya di kemenag,neg,neg
345,mafia tanah dan pelaku pungli silahkan kelojotan berjamaah,neg,pos
346,iwo siap bantu satgas saberpungli,pos,pos
347,pelaku pungli di jakarta kalo tidak digalakin kayak jaman ahok tidak bakalan kapok,neg,neg
348,kanit binmas polsek adiwerna laksanakan sosialisasi saberpungli,neg,pos
349,pungli sertifikat tanah bandar rejo dilaporkan ke kejari,neg,pos
350,sambangi perkemahan brigpol leander sosialisasikan saberpungli,neg,pos
351,sering pungli pengendara jalan preman di bangkalan ini akhirnya kena batunya,neg,neg
352,antisipasi pungli bhabinkamtibmas sosialisasi saberpungli di desa tawan jaya,pos,pos
353,praktik pungli masih kerap terjadi di jalan provinsi kalimantan timur,neg,pos
354,pungli ya ini berarti,neg,neg
355,praktik pungutan liar pungli berkedok uang daftar ulang di sekolah masih kerap terjadi,neg,neg
356,sial bet sih harus hadapin gembel pungli ini dimarahin my eyes semakin perih,neg,neg
357,pungutan liar di jalan arif rahman ke arah margonda depok dinilai sebagai biang keladi kemacetan di kolong flyove,neg,neg
358,menurut sopir angkot jalan arif rahman depok macet gara gara pungli,neg,neg
359,dukcapil kota sorong bebaspungli,pos,neg
360,cek begitu pemkot jaktim usut kabar pungli program ptsl di cakung beredar kabar oknum pengu,neg,pos
361,pelaku pungli di pelabuhan teluk bayur ditangkap polisi,pos,pos
362,setelah operasi tangkap tangan ott dugaan pungutan liar pungli di stain bengkalis ternyata beberapa hari setela,pos,pos
363,belum tersentuh hukum program ptsl desa ringintelu di duga beraroma pungli,neg,neg
364,pungli rp ribu di bandara sentani resahkan penumpang,neg,neg
365,pingli membuat rakyat resah,neg,neg
366,terjadi pungli di pelabuhan,neg,pos
367,pungli di kelurahan bukan isapan jempol,neg,neg
368,pungli sering juga terjadi di sekolah negri banyumas,neg,neg
369,pungli di pembangunan jembatan layang,neg,neg
370,aparat sering melakukan pungli di jalanan,neg,neg
371,viiral sering pungli dilakukan oleh aparat dengan melakukan asal razia,neg,pos
372,modus pelaku pungli di jalur mudik,neg,pos
373,jokowi keluhkan pungli yang terjadi di indonesia,neg,neg
374,ini lagi tidak laku orangy tau diri gakmau jangan memaksa macam tukang pungli saja,neg,neg
375,antaranews nasional kejari tangani dua kasus ott pungli,neg,pos
376,ratusan aduan penerimaan murid baru dari pungli zonasi sampai jual beli kursi,neg,neg
377,pelaku pungli di pelabuhan teluk bayur,neg,pos
378,di taplau juga banyak tukang palak pungli min ganggu pengunjung sama rukang parkir ilegal bocah bocah yang tidak,neg,neg
379,ketauan pungli deh,neg,neg
380,naik bus juga harus kena pungli wtf,neg,neg
